Country,Per 1000 capita (active),Per 1000 capita (total)
Afghanistan,"5.1
","9.5
"
Albania,"2.6
","2.8
"
Algeria,"3.2
","11.4
"
Angola,"3.7
","4
"
Antigua and Barbuda,"1.9
","2.7
"
Argentina,"1.7
","2.4
"
Armenia,"14.7
","85.1
"
Australia,"2.5
","3.4
"
Austria,"2.6
","22.8
"
Azerbaijan,"6.7
","38.3
"
Bahamas,"3.9
","3.9
"
Bahrain,"5.8
","13.8
"
Bangladesh,"1
","1.4
"
Barbados,"2.1
","3.6
"
Belarus,"4.7
","46.6
"
Belgium,"2.5
","2.9
"
Belize,"4.2
","6.5
"
Benin,"0.7
","0.9
"
Bolivia,"3.1
","6.4
"
Bosnia and Herzegovina,"2.7
","2.7
"
Botswana,"4.1
","4.1
"
Brazil,"1.6
","10
"
Brunei,"16.2
","28.9
"
Bulgaria,"4.4
","4.8
"
Burkina Faso,"0.6
","0.6
"
Burundi,"2.6
","4.5
"
Cambodia,"7.7
","11.8
"
Cameroon,"0.6
","0.9
"
Canada,"1.8
","2.7
"
Cape Verde,"2.1
","2.1
"
Central African Republic,"1.3
","1.4
"
Chad,"2.5
","3.3
"
Chile,"4.3
","9.1
"
China,"1.5
","2.9
"
Colombia,"6.1
","10.8
"
Costa Rica,"0
","2
"
C̫te d'Ivoire,"1.1
","1.1
"
Croatia,"3.6
","4.3
"
Cuba,"4.4
","239.8
"
Cyprus,"12.3
","53.8
"
Czech Republic,"2.2
","2.2
"
Democratic Republic of the Congo,"1.6
","1.6
"
Denmark,"2.9
","11
"
Djibouti,"23.1
","37
"
Dominican Republic,"5.2
","6.6
"
Ecuador,"2.5
","9.7
"
Egypt,"4.5
","13.5
"
El Salvador,"4
","8.3
"
Equatorial Guinea,"1.9
","1.9
"
Eritrea,"34.4
","54.8
"
Estonia,"5.3
","27.5
"
Ethiopia,"1.3
","1.3
"
Fiji,"3.8
","10.3
"
Finland,"6.1
","210.9
"
France,"3
","5.6
"
Gabon,"2.7
","3.8
"
Gambia,"0.4
","0.4
"
Georgia,"4.2
","5.3
"
Germany,"2.2
","2.6
"
Ghana,"0.6
","0.6
"
Greece,"13.1
","34
"
Guatemala,"1.2
","6.9
"
Guinea,"0.8
","1
"
Guinea-Bissau,"2.5
","2.5
"
Guyana,"4.6
","5.5
"
Haiti,"0
","0
"
Honduras,"1.7
","9.2
"
Hungary,"3.7
","10.8
"
Iceland,"0
","0.7
"
India,"1.1
","4
"
Indonesia,"1.5
","4.1
"
Iran,"6.4
","55
"
Iraq,"1.6
","5.3
"
Ireland,"2
","2.7
"
Israel,"21.3
","78.3
"
Italy,"2.8
","6
"
Jamaica,"1.3
","1.6
"
Japan,"2
","2.5
"
Jordan,"9.8
","21
"
Kazakhstan,"2.1
","3.8
"
Kenya,"0.5
","0.6
"
Kosovo,"1.3
","1.7
"
Kuwait,"5.4
","16.1
"
Kyrgyzstan,"1.9
","3.5
"
Laos,"4.1
","18.1
"
Latvia,"2.7
","6.8
"
Lebanon,"9.6
","12.8
"
Lesotho,"1
","1
"
Liberia,"0.4
","0.4
"
Libya,"0
","0
"
Lithuania,"6.5
","12.9
"
Luxembourg,"1.5
","2.5
"
Madagascar,"0.5
","0.9
"
Malawi,"0.6
","0.8
"
Malaysia,"3.5
","21.3
"
Mali,"0.6
","1
"
Malta,"4.7
","5.1
"
Mauritania,"4.2
","5.5
"
Mauritius,"0
","1.9
"
Mexico,"2.2
","3.4
"
Moldova,"1.5
","18.9
"
Mongolia,"3.2
","50.3
"
Montenegro,"3
","18.8
"
Morocco,"5.8
","11.6
"
Mozambique,"0.4
","0.4
"
Myanmar,"7.4
","9.3
"
Namibia,"4
","6.4
"
Nepal,"3.3
","5.4
"
Netherlands,"2.1
","2.7
"
New Zealand,"1.9
","2.5
"
Nicaragua,"2
","2
"
Niger,"0.3
","0.6
"
Nigeria,"0.6
","1
"
Democratic People's Republic of Korea,"37.6
","278.8
"
North Macedonia,"3.8
","9.7
"
Norway,"4.5
","11.8
"
Oman,"12.4
","13.7
"
Pakistan,"3.1
","3.1
"
Palestine,"0
","0
"
Panama,"0
","5.9
"
Papua New Guinea,"0.5
","0.5
"
Paraguay,"1.5
","27.4
"
Peru,"2.6
","11.1
"
Philippines,"1.2
","3.3
"
Poland,"2.7
","4.6
"
Portugal,"2.8
","26.4
"
Qatar,"5.1
","7.3
"
Republic of the Congo,"2
","2.4
"
Romania,"3.2
","9.3
"
Russian Federation,"7.1
","41.5
"
Rwanda,"2.8
","2.9
"
Saudi Arabia,"7.9
","8.8
"
Senegal,"0.9
","1.3
"
Serbia,"4
","11.5
"
Seychelles,"4.5
","4.5
"
Sierra Leone,"1.4
","1.4
"
Singapore,"12.3
","68.8
"
Slovakia,"2.9
","2.9
"
Slovenia,"3.7
","7.6
"
Somalia,"1.8
","1.8
"
South Africa,"1.2
","1.5
"
Republic of Korea,"11.7
","89.9
"
Spain,"2.5
","4.4
"
Sri Lanka,"15.5
","19.8
"
South Sudan,"14.2
","14.2
"
Sudan,"2.8
","5.6
"
Suriname,"3.1
","3.3
"
Sweden,"3
","5.2
"
Switzerland,"2.5
","29
"
Syria,"7.9
","16.2
"
Taiwan,"11.7
","210.9
"
Tajikistan,"1
","1.9
"
Tanzania,"0.5
","2
"
Thailand,"5.3
","10.2
"
Timor Leste,"1
","1
"
Togo,"1.1
","1.2
"
Trinidad and Tobago,"3.3
","3.3
"
Tunisia,"3.1
","4.2
"
Turkey,"4.4
","11
"
Turkmenistan,"6.8
","7.8
"
Uganda,"1.1
","1.4
"
Ukraine,"4.6
","27.1
"
United Arab Emirates,"10.4
","40
"
United Kingdom of Great Britain and Northern Ireland,"2.3
","3.6
"
United States of America,"4.2
","15.6
"
Uruguay,"7.3
","7.6
"
Uzbekistan,"1.6
","2.3
"
Venezuela,"3.9
","11.2
"
Vietnam,"5
","57.4
"
Yemen,"0.7
","0.7
"
Zambia,"0.9
","1.2
"
Zimbabwe,"2.1
","3.7
"
